TimeSinceAppStart,BatteryVoltage,WeaponThrottle,OrientationX,OrientationY,OrientationZ,BnoAccelerationX,BnoAccelerationY,BnoAccelerationZ,LisAccelerationX,LisAccelerationY,LisAccelerationZ,FusionAccelerationX,FusionAccelerationY,FusionAccelerationZ,EscTemperature,EscVoltage,EscCurrent,EscUsedMah,EscRpm,BnoTemp,BnoCalibrationSystem,BnoCalibrationGyro,BnoCalibrationAccelerometer,BnoCalibrationMagnetometer,SmartHeadingOffset,
2.043267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.063301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.076413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.092087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.106952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.131784,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.150565,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.16576,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.178833,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.192842,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.207832,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.223965,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.238067,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.254384,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.271318,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.288099,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.303581,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.320136,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.338249,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.353589,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.371311,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.387047,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.404181,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.42141,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.437517,17.075,90,358.1465,179.9855,180.8956,-0.316,-0.156,-9.703,21,-9,0,-0.316,-0.156,-9.703,0,0,0,0,0,0,3,1,1,1,0,
2.454258,17.075,90,358.1465,179.9855,180.8956,-0.316,-0.156,-9.703,21,-9,0,-0.316,-0.156,-9.703,0,0,0,0,0,0,3,1,1,1,0,
2.470198,17.075,90,358.1465,179.9855,180.8956,-0.316,-0.156,-9.703,21,-9,0,-0.316,-0.156,-9.703,0,0,0,0,0,0,3,1,1,1,0,
2.487244,17.075,90,358.1465,179.9855,180.8956,-0.316,-0.156,-9.703,21,-9,0,-0.316,-0.156,-9.703,0,0,0,0,0,0,3,1,1,1,0,
2.503958,17.075,90,358.1465,179.9855,180.8956,-0.316,-0.156,-9.703,21,-9,0,-0.316,-0.156,-9.703,0,0,0,0,0,0,3,1,1,1,0,
2.521862,17.075,90,358.1465,179.9855,180.8956,-0.316,-0.156,-9.703,21,-9,0,-0.316,-0.156,-9.703,0,0,0,0,0,0,3,1,1,1,0,
2.537267,17.075,90,358.1465,179.9855,180.8956,-0.316,-0.156,-9.703,21,-9,0,-0.316,-0.156,-9.703,0,0,0,0,0,0,3,1,1,1,0,
2.55469,17.075,90,358.1465,179.9855,180.8956,-0.316,-0.156,-9.703,21,-9,0,-0.316,-0.156,-9.703,0,0,0,0,0,0,3,1,1,1,0,
2.570393,17.075,90,358.1465,179.9855,180.8956,-0.316,-0.156,-9.703,21,-9,0,-0.316,-0.156,-9.703,0,0,0,0,0,0,3,1,1,1,0,
2.58759,17.075,90,358.1465,179.9855,180.8956,-0.316,-0.156,-9.703,21,-9,0,-0.316,-0.156,-9.703,0,0,0,0,0,0,3,1,1,1,0,
2.605129,17.075,90,358.1465,179.9855,180.8956,-0.316,-0.156,-9.703,21,-9,0,-0.316,-0.156,-9.703,0,0,0,0,0,0,3,1,1,1,0,
2.622599,17.067,90,358.1465,179.9855,180.8956,-0.316,-0.156,-9.742,7,-15,15,-0.316,-0.156,-9.742,0,0,0,0,0,0,3,1,1,1,0,
2.63715,17.067,90,358.1465,179.9855,180.8956,-0.316,-0.156,-9.742,7,-15,15,-0.316,-0.156,-9.742,0,0,0,0,0,0,3,1,1,1,0,
2.65375,17.067,90,358.1465,179.9855,180.8956,-0.316,-0.156,-9.742,7,-15,15,-0.316,-0.156,-9.742,0,0,0,0,0,0,3,1,1,1,0,
2.671077,17.067,90,358.1465,179.9855,180.8956,-0.316,-0.156,-9.742,7,-15,15,-0.316,-0.156,-9.742,0,0,0,0,0,0,3,1,1,1,0,
2.688242,17.067,90,358.1465,179.9855,180.8956,-0.316,-0.156,-9.742,7,-15,15,-0.316,-0.156,-9.742,0,0,0,0,0,0,3,1,1,1,0,
2.704125,17.067,90,358.1465,179.9855,180.8956,-0.316,-0.156,-9.742,7,-15,15,-0.316,-0.156,-9.742,0,0,0,0,0,0,3,1,1,1,0,
2.720645,17.067,90,358.1465,179.9855,180.8956,-0.316,-0.156,-9.742,7,-15,15,-0.316,-0.156,-9.742,0,0,0,0,0,0,3,1,1,1,0,
2.738177,17.067,90,358.1465,179.9855,180.8956,-0.316,-0.156,-9.742,7,-15,15,-0.316,-0.156,-9.742,0,0,0,0,0,0,3,1,1,1,0,
